Variant,Params,Macro-F1,Accuracy,Epochs,Train-Val gap (last),F1_dws,F1_ups,F1_wlk,F1_jog,F1_std,F1_sit
A_baseline,111558,0.9219274376896381,0.9156709558823529,11,0.1785193681716919,0.8917345750873108,0.9514563106796117,0.9273689273689274,0.9793103448275862,0.8831437435367114,0.8985507246376812
B_dilated,111558,0.9202067566500696,0.9154411764705882,12,0.19191181659698486,0.906392694063927,0.8935395814376706,0.9161793372319688,0.993006993006993,0.9039145907473309,0.908207343412527
C_dilated_ecp,111558,0.9086346580606511,0.9060202205882353,11,0.17156100273132324,0.8521358159912377,0.9356388088376562,0.9039492930277914,0.9625425652667423,0.9011425732737208,0.896398891966759
D_dilated_reg,111558,0.936838639144748,0.9319852941176471,13,0.16962409019470215,0.929845422116528,0.922509225092251,0.928537170263789,0.9929906542056075,0.9183467741935484,0.9288025889967637
E_dilated_ecp_reg,111558,0.9088107369352542,0.9076286764705882,27,0.18915486335754395,0.8726467331118494,0.8658536585365854,0.8687690742624619,0.9826989619377162,0.9302088639836984,0.9326871297792138
F_dilated_cmv,111558,0.8768009394796293,0.8685661764705882,14,0.17131882905960083,0.8843069873997709,0.8055105348460292,0.8252631578947368,0.9836829836829837,0.8801169590643275,0.8819250139899273
