Model,Features,Macro-F1,Accuracy,F1_dws,F1_ups,F1_wlk,F1_jog,F1_std,F1_sit
"SVC-RBF top-72, tuned (12ch raw, baseline.ipynb)",218 → 72,0.9519,0.9561,0.9428,0.854,0.9246,0.9907,0.9995,1.0
RF 100 trees (6ch orientation-invariant),110,0.8943759392774532,0.9009650735294118,0.856760374832664,0.6963873943120676,0.8241206030150754,0.9894982497082847,0.9994890137966275,1.0
"SVC-RBF top-72, tuned (6ch orientation-invariant)",110 → 72,0.9366219425458396,0.9455422794117647,0.9107373868046572,0.852233676975945,0.9099756690997567,0.9467849223946785,1.0,1.0
