Model,Features,Macro-F1,Accuracy,F1_dws,F1_ups,F1_wlk,F1_jog,F1_std,F1_sit
"SVC-RBF top-72, tuned (12ch raw, baseline.ipynb)",218 → 72,0.9519,0.9561,0.9428,0.854,0.9246,0.9907,0.9995,1.0
RF 100 trees (6ch orientation-invariant),110,0.8943759392774532,0.9009650735294118,0.856760374832664,0.6963873943120676,0.8241206030150754,0.9894982497082848,0.9994890137966276,1.0
"SVC-RBF top-72, tuned (6ch orientation-invariant)",110 → 72,0.9366219425458396,0.9455422794117648,0.9107373868046572,0.852233676975945,0.9099756690997568,0.9467849223946784,1.0,1.0
"CNN-1D baseline (12ch raw, cnn.ipynb)",12 channels × 128,0.9152,0.9322,0.8365,0.9005,0.917,0.8646,0.9856,0.9867
CNN-1D baseline (6ch orientation-invariant),6 channels × 128,0.9473292106443468,0.9519761029411765,0.9007981755986317,0.9053803339517625,0.9040428641013152,0.9827387802071347,0.9974528782475802,0.9935622317596566
