name,window_acc,session_acc,n_windows,n_sessions
C12_combo_A,0.7541666666666667,0.8333333333333334,240,12
C1_low_lr,0.6916666666666667,0.75,240,12
C3_small_bs,0.7208333333333333,0.8333333333333334,240,12
