arch,config,seed,params,val_f1,test_f1,itw_window_acc,itw_session_acc,epochs,elapsed_s,F1_dws,F1_ups,F1_wlk,F1_jog,F1_std,F1_sit
baseline,C0_vanilla,1,111558,0.8012261765531417,0.8975169697962491,0.5125,0.6666666666666666,11,55.7,0.908256880733945,0.8554216867469879,0.8609543355566958,0.9667812142038946,0.8844114528101803,0.90927624872579
baseline,C0_vanilla,2,111558,0.7737349552845557,0.8534666441792188,0.3875,0.5,11,56.6,0.786235662148071,0.7984,0.7657206455203116,0.9929906542056075,0.8819621870209504,0.8954907161803713
baseline,C0_vanilla,42,111558,0.7845032839470926,0.8703480837870109,0.6333333333333333,0.75,11,70.9,0.8426724137931034,0.8289036544850499,0.7993510005408329,0.9746543778801844,0.8788035069623518,0.8977035490605428
baseline,C12_combo_A,1,111558,0.8379353947150247,0.9485856241637274,0.7416666666666667,0.8333333333333334,17,66.3,0.9387755102040816,0.9676787463271302,0.9602587800369686,0.9883720930232558,0.9108589951377634,0.9255696202531646
baseline,C12_combo_A,2,111558,0.8460230423682177,0.9374806582584876,0.7291666666666666,0.8333333333333334,17,68.1,0.9245283018867924,0.9412878787878788,0.9370829361296472,0.9872537659327926,0.9087093389296956,0.926021727884118
baseline,C12_combo_A,3,111558,0.8567760272252247,0.9220815755677996,0.725,0.8333333333333334,17,69.2,0.9413173652694612,0.9213691026827012,0.9261036468330134,0.9860788863109048,0.8628318584070797,0.8947885939036382
baseline,C12_combo_A,42,111558,0.8093098193244384,0.9246242410549126,0.6291666666666667,0.8333333333333334,11,48.8,0.9088757396449704,0.9087591240875912,0.9188405797101448,0.993006993006993,0.905905905905906,0.9123571039738704
