Variant,win_acc,sess_acc,sess_dws,sess_ups,sess_hod,sess_hod2,sess_hodanje,sess_hodanje2,sess_hodanje3,sess_jog,sess_ED,sess_EG,sess_KD,sess_KG
A_baseline,0.7541666666666667,0.8333333333333334,0.75,1.0,0.1111111111111111,1.0,0.6153846153846154,0.0,0.6285714285714286,1.0,0.9393939393939394,0.8372093023255814,0.8333333333333334,0.8974358974358975
B_dilated,0.7083333333333334,0.8333333333333334,1.0,1.0,0.0,1.0,0.46153846153846156,0.0,0.5142857142857142,1.0,0.9393939393939394,0.813953488372093,0.7777777777777778,0.8461538461538461
C_dilated_ecp,0.7166666666666667,0.8333333333333334,1.0,1.0,0.0,1.0,0.46153846153846156,0.0,0.6571428571428571,1.0,0.8787878787878788,0.7441860465116279,0.8333333333333334,0.8461538461538461
D_dilated_reg,0.675,0.8333333333333334,1.0,1.0,0.0,1.0,0.5384615384615384,0.0,0.6,1.0,0.8787878787878788,0.627906976744186,0.7777777777777778,0.7948717948717948
E_dilated_ecp_reg,0.7125,0.75,1.0,1.0,0.0,0.6666666666666666,0.3076923076923077,0.0,0.6285714285714286,1.0,0.9090909090909091,0.7674418604651163,0.8888888888888888,0.8205128205128205
F_dilated_cmv,0.7,0.8333333333333334,1.0,1.0,0.1111111111111111,1.0,0.5384615384615384,0.0,0.7142857142857143,1.0,0.8787878787878788,0.7209302325581395,0.75,0.7435897435897436
